zpid,imgSrc,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,timeOnZillow,is_FSBA,datePriceChanged,priceReduction,priceChange,videoCount,is_newHome,newConstructionType,streetName,homeDetailUrl,price_to_rent_ratio
1763942,https://photos.zillowstatic.com/fp/77df28a3ea391b99ddde1c38fa3ed0be-p_e.jpg,/homedetails/2600-Thomas-Ave-N-Minneapolis-MN-55411/1763942_zpid/,2600 Thomas Ave N,55411,Minneapolis,MN,45.006207,-93.31296,405000.0,1708416000000,3.0,3.0,2883.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,405200.0,3200,False,False,RECENTLY_SOLD,405000.0,True,False,False,USD,USA,343000.0,9147.6,sqft,False,,,,,,,,,2600 Thomas Ave N,https://www.zillow.com/homedetails/2600-Thomas-Ave-N-Minneapolis-MN-55411/1763942_zpid/,126.625
1783707,https://photos.zillowstatic.com/fp/809ea901cd8005f8bbaa247b16b66e45-p_e.jpg,/homedetails/4544-Clinton-Ave-Minneapolis-MN-55419/1783707_zpid/,4544 Clinton Ave,55419,Minneapolis,MN,44.92017,-93.27189,265000.0,1708416000000,2.0,4.0,2012.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,265300.0,2800,False,False,RECENTLY_SOLD,265000.0,True,False,False,USD,USA,287000.0,5227.2,sqft,False,,,,,,,,,4544 Clinton Ave,https://www.zillow.com/homedetails/4544-Clinton-Ave-Minneapolis-MN-55419/1783707_zpid/,94.75
1851015,https://photos.zillowstatic.com/fp/44ef64a9f34dc4d71255e77e8968f5a7-p_e.jpg,/homedetails/1519-Penn-Ave-N-Minneapolis-MN-55411/1851015_zpid/,1519 Penn Ave N,55411,Minneapolis,MN,44.994606,-93.30859,325000.0,1708070400000,3.0,4.0,2280.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,325400.0,2600,False,False,RECENTLY_SOLD,325000.0,True,False,False,USD,USA,265000.0,6098.4,sqft,False,,,,,,,,,1519 Penn Ave N,https://www.zillow.com/homedetails/1519-Penn-Ave-N-Minneapolis-MN-55411/1851015_zpid/,125.15384615384616
1950607,https://photos.zillowstatic.com/fp/9da2ab16fd7dc8d24bc2eda02a2c8cf5-p_e.jpg,/homedetails/444-Oliver-Ave-S-Minneapolis-MN-55405/1950607_zpid/,444 Oliver Ave S,55405,Minneapolis,MN,44.972565,-93.307625,750000.0,1708070400000,2.0,3.0,2426.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,752700.0,3914,False,False,RECENTLY_SOLD,750000.0,True,False,False,USD,USA,689000.0,10018.8,sqft,False,,,,,,,,,444 Oliver Ave S,https://www.zillow.com/homedetails/444-Oliver-Ave-S-Minneapolis-MN-55405/1950607_zpid/,192.30965763924374
1717112,https://photos.zillowstatic.com/fp/5e77702f99b266dd19670468108bb0ae-p_e.jpg,/homedetails/3132-Colfax-Ave-S-Minneapolis-MN-55408/1717112_zpid/,3132 Colfax Ave S,55408,Minneapolis,MN,44.945408,-93.29232,489500.0,1707984000000,2.0,4.0,2202.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,490500.0,3169,False,False,RECENTLY_SOLD,489500.0,True,False,False,USD,USA,457000.0,6098.4,sqft,False,,,,,,,,,3132 Colfax Ave S,https://www.zillow.com/homedetails/3132-Colfax-Ave-S-Minneapolis-MN-55408/1717112_zpid/,154.7806879141685
1760770,https://photos.zillowstatic.com/fp/01eb356f306742899434c16d8ea093cc-p_e.jpg,/homedetails/4245-Abbott-Ave-S-Minneapolis-MN-55410/1760770_zpid/,4245 Abbott Ave S,55410,Minneapolis,MN,44.925415,-93.32233,474951.0,1707984000000,4.0,4.0,2980.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,476500.0,5081,False,False,RECENTLY_SOLD,474951.0,True,False,False,USD,USA,910000.0,5662.8,sqft,False,1614205000.0,,,,,,,,4245 Abbott Ave S,https://www.zillow.com/homedetails/4245-Abbott-Ave-S-Minneapolis-MN-55410/1760770_zpid/,93.78075182050777
1849170,https://photos.zillowstatic.com/fp/e222a1f1570fc0ae444742916efd00bf-p_e.jpg,/homedetails/5025-Xerxes-Ave-S-Minneapolis-MN-55410/1849170_zpid/,5025 Xerxes Ave S,55410,Minneapolis,MN,44.911648,-93.31849,675000.0,1707984000000,3.0,3.0,2684.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,677700.0,3441,False,False,RECENTLY_SOLD,675000.0,True,False,False,USD,USA,708000.0,5227.2,sqft,False,,,,,,,,,5025 Xerxes Ave S,https://www.zillow.com/homedetails/5025-Xerxes-Ave-S-Minneapolis-MN-55410/1849170_zpid/,196.9485614646905
1830373,https://photos.zillowstatic.com/fp/4848be3d04e685ded92e88132f701f76-p_e.jpg,/homedetails/5003-2nd-Ave-S-Minneapolis-MN-55419/1830373_zpid/,5003 2nd Ave S,55419,Minneapolis,MN,44.91231,-93.2738,349900.0,1707897600000,2.0,4.0,3824.0,SINGLE_FAMILY,PENDING,-1,False,False,365600.0,3274,False,False,,349900.0,True,False,False,USD,USA,581000.0,0.25,acres,False,1700605000.0,True,,,,,,,5003 2nd Ave S,https://www.zillow.com/homedetails/5003-2nd-Ave-S-Minneapolis-MN-55419/1830373_zpid/,111.66768478924863
1830834,https://photos.zillowstatic.com/fp/04b68a98f0a1400fb5d2476649b2f0f1-p_e.jpg,/homedetails/2511-4th-St-N-Minneapolis-MN-55411/1830834_zpid/,2511 4th St N,55411,Minneapolis,MN,45.005177,-93.28535,279900.0,1707897600000,2.0,5.0,2120.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,280900.0,2695,False,False,RECENTLY_SOLD,279900.0,True,False,False,USD,USA,221000.0,6969.6,sqft,False,1700605000.0,,,,,,,,2511 4th St N,https://www.zillow.com/homedetails/2511-4th-St-N-Minneapolis-MN-55411/1830834_zpid/,104.23005565862708
1887259,https://photos.zillowstatic.com/fp/0d1a63f1ac61812c346ade20bed7bb8a-p_e.jpg,/homedetails/1227-Russell-Ave-N-Minneapolis-MN-55411/1887259_zpid/,1227 Russell Ave N,55411,Minneapolis,MN,44.990536,-93.31116,320000.0,1707465600000,2.0,4.0,2087.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,321000.0,2500,False,False,RECENTLY_SOLD,320000.0,True,False,False,USD,USA,346000.0,6969.6,sqft,False,,,,,,,,,1227 Russell Ave N,https://www.zillow.com/homedetails/1227-Russell-Ave-N-Minneapolis-MN-55411/1887259_zpid/,128.4
1840084,https://photos.zillowstatic.com/fp/db83011a8b9456d1408edcac20f1eec8-p_e.jpg,/homedetails/1615-Girard-Ave-N-Minneapolis-MN-55411/1840084_zpid/,1615 Girard Ave N,55411,Minneapolis,MN,44.99578,-93.29754,290000.0,1706860800000,4.0,4.0,2349.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,292300.0,2698,False,False,RECENTLY_SOLD,290000.0,True,False,False,USD,USA,349000.0,5662.8,sqft,False,,,,,,,,,1615 Girard Ave N,https://www.zillow.com/homedetails/1615-Girard-Ave-N-Minneapolis-MN-55411/1840084_zpid/,108.33951074870274
1849369,https://photos.zillowstatic.com/fp/dc1b0f0c6ce2076d982602b87096692e-p_e.jpg,/homedetails/5209-Washburn-Ave-S-Minneapolis-MN-55410/1849369_zpid/,5209 Washburn Ave S,55410,Minneapolis,MN,44.9084,-93.31721,490000.0,1706860800000,3.0,4.0,2354.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,516400.0,2999,False,False,RECENTLY_SOLD,490000.0,True,False,False,USD,USA,509000.0,5227.2,sqft,False,,,,,,,,,5209 Washburn Ave S,https://www.zillow.com/homedetails/5209-Washburn-Ave-S-Minneapolis-MN-55410/1849369_zpid/,172.19073024341446
1884902,https://photos.zillowstatic.com/fp/c45fae5591d56e1c8b456aa3da426363-p_e.jpg,/homedetails/5523-Queen-Ave-S-Minneapolis-MN-55410/1884902_zpid/,5523 Queen Ave S,55410,Minneapolis,MN,44.9025,-93.30956,500000.0,1706860800000,2.0,3.0,2008.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,504000.0,2850,False,False,RECENTLY_SOLD,500000.0,True,False,False,USD,USA,517000.0,6098.4,sqft,False,,,,,,,,,5523 Queen Ave S,https://www.zillow.com/homedetails/5523-Queen-Ave-S-Minneapolis-MN-55410/1884902_zpid/,176.8421052631579
1760685,https://photos.zillowstatic.com/fp/0e3ba486799d7ff217c90829d1088216-p_e.jpg,/homedetails/4140-Xerxes-Ave-S-Minneapolis-MN-55410/1760685_zpid/,4140 Xerxes Ave S,55410,Minneapolis,MN,44.927258,-93.31922,560000.0,1706688000000,3.0,4.0,2072.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,564800.0,2999,False,False,RECENTLY_SOLD,560000.0,True,False,False,USD,USA,594000.0,0.18,sqft,False,,,,,,,,,4140 Xerxes Ave S,https://www.zillow.com/homedetails/4140-Xerxes-Ave-S-Minneapolis-MN-55410/1760685_zpid/,188.3294431477159
1840024,https://photos.zillowstatic.com/fp/6f098f2029d79f28b406c133fb3b7e7b-p_e.jpg,/homedetails/1709-Dupont-Ave-N-Minneapolis-MN-55411/1840024_zpid/,1709 Dupont Ave N,55411,Minneapolis,MN,44.99664,-93.29303,332000.0,1706688000000,2.0,3.0,2432.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,334800.0,2500,False,False,RECENTLY_SOLD,332000.0,True,False,False,USD,USA,287000.0,9147.6,sqft,False,,,,,,,,,1709 Dupont Ave N,https://www.zillow.com/homedetails/1709-Dupont-Ave-N-Minneapolis-MN-55411/1840024_zpid/,133.92
1912696,https://photos.zillowstatic.com/fp/40f089c2622dc040a77820e656e14cfa-p_e.jpg,/homedetails/6025-14th-Ave-S-Minneapolis-MN-55417/1912696_zpid/,6025 14th Ave S,55417,Minneapolis,MN,44.893353,-93.25502,450000.0,1706688000000,3.0,4.0,2515.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,470200.0,2949,False,False,RECENTLY_SOLD,450000.0,True,False,False,USD,USA,476000.0,6534.0,sqft,False,,,,,,,,,6025 14th Ave S,https://www.zillow.com/homedetails/6025-14th-Ave-S-Minneapolis-MN-55417/1912696_zpid/,159.44387928111223
2017399,https://photos.zillowstatic.com/fp/beba919425fdf700c9f99bd47996cb58-p_e.jpg,/homedetails/2737-Bloomington-Ave-Minneapolis-MN-55407/2017399_zpid/,2737 Bloomington Ave,55407,Minneapolis,MN,44.952343,-93.25206,385000.0,1706688000000,3.0,5.0,3205.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,388300.0,3497,False,False,RECENTLY_SOLD,385000.0,True,False,False,USD,USA,262000.0,5227.2,sqft,False,,,,,,,,,2737 Bloomington Ave,https://www.zillow.com/homedetails/2737-Bloomington-Ave-Minneapolis-MN-55407/2017399_zpid/,111.0380325993709
1887295,https://photos.zillowstatic.com/fp/369e6bd0dfbc6ac1b2007da712b68003-p_e.jpg,/homedetails/1008-Thomas-Ave-N-Minneapolis-MN-55411/1887295_zpid/,1008 Thomas Ave N,55411,Minneapolis,MN,44.98832,-93.31306,379000.0,1706601600000,3.0,5.0,2416.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,382400.0,3194,False,False,RECENTLY_SOLD,379000.0,True,False,False,USD,USA,390000.0,6098.4,sqft,False,,,,,,,,,1008 Thomas Ave N,https://www.zillow.com/homedetails/1008-Thomas-Ave-N-Minneapolis-MN-55411/1887295_zpid/,119.72448340638698
1895431,https://photos.zillowstatic.com/fp/9172b90767989f721e69c25c4aa18c16-p_e.jpg,/homedetails/5557-Emerson-Ave-S-Minneapolis-MN-55419/1895431_zpid/,5557 Emerson Ave S,55419,Minneapolis,MN,44.901615,-93.2943,494000.0,1706515200000,2.0,4.0,2400.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,498500.0,2999,False,False,RECENTLY_SOLD,494000.0,True,False,False,USD,USA,533000.0,6969.6,sqft,False,,,,,,,,,5557 Emerson Ave S,https://www.zillow.com/homedetails/5557-Emerson-Ave-S-Minneapolis-MN-55419/1895431_zpid/,166.2220740246749
1804936,https://photos.zillowstatic.com/fp/15142969f0705d2d52dfce92d295a799-p_e.jpg,/homedetails/1927-Buchanan-St-NE-Minneapolis-MN-55418/1804936_zpid/,1927 Buchanan St NE,55418,Minneapolis,MN,45.00873,-93.23934,500000.0,1706256000000,3.0,3.0,2371.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,505000.0,2600,False,False,RECENTLY_SOLD,500000.0,True,False,False,USD,USA,408000.0,6534.0,sqft,False,,,,,,,,,1927 Buchanan St NE,https://www.zillow.com/homedetails/1927-Buchanan-St-NE-Minneapolis-MN-55418/1804936_zpid/,194.23076923076923
1861176,https://photos.zillowstatic.com/fp/230c84c97c0266cfdffb2f9b14996f4d-p_e.jpg,/homedetails/5248-35th-Ave-S-Minneapolis-MN-55417/1861176_zpid/,5248 35th Ave S,55417,Minneapolis,MN,44.907543,-93.22196,465000.0,1706256000000,2.0,4.0,2087.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,469700.0,2800,False,False,RECENTLY_SOLD,465000.0,True,False,False,USD,USA,463000.0,5227.2,sqft,False,,,,,,,,,5248 35th Ave S,https://www.zillow.com/homedetails/5248-35th-Ave-S-Minneapolis-MN-55417/1861176_zpid/,167.75
1819219,https://photos.zillowstatic.com/fp/af1a6824a665aefb65f963639eeb62a9-p_e.jpg,/homedetails/4900-Oakland-Ave-Minneapolis-MN-55417/1819219_zpid/,4900 Oakland Ave,55417,Minneapolis,MN,44.914165,-93.26684,580000.0,1706169600000,2.0,3.0,2494.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,543600.0,3099,False,False,RECENTLY_SOLD,580000.0,True,False,False,USD,USA,364000.0,5227.2,sqft,False,,,,,,,,,4900 Oakland Ave,https://www.zillow.com/homedetails/4900-Oakland-Ave-Minneapolis-MN-55417/1819219_zpid/,175.41142303969022
1717918,https://photos.zillowstatic.com/fp/54311c4f9d11241f21ea7f7c56e97528-p_e.jpg,/homedetails/3319-Humboldt-Ave-S-Minneapolis-MN-55408/1717918_zpid/,3319 Humboldt Ave S,55408,Minneapolis,MN,44.94225,-93.300514,650000.0,1705651200000,3.0,4.0,3093.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,657900.0,3502,False,False,RECENTLY_SOLD,650000.0,True,False,False,USD,USA,672000.0,5227.2,sqft,False,,,,,,,,,3319 Humboldt Ave S,https://www.zillow.com/homedetails/3319-Humboldt-Ave-S-Minneapolis-MN-55408/1717918_zpid/,187.8640776699029
1802998,https://photos.zillowstatic.com/fp/f2cecfd3cbd7163c0f95d7f461b3820c-p_e.jpg,/homedetails/2738-Cleveland-St-NE-Minneapolis-MN-55418/1802998_zpid/,2738 Cleveland St NE,55418,Minneapolis,MN,45.01807,-93.23109,478000.0,1705651200000,2.0,4.0,2392.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,483800.0,2495,False,False,RECENTLY_SOLD,478000.0,True,False,False,USD,USA,420000.0,6098.4,sqft,False,,,,,,,,,2738 Cleveland St NE,https://www.zillow.com/homedetails/2738-Cleveland-St-NE-Minneapolis-MN-55418/1802998_zpid/,193.90781563126254
1905793,https://photos.zillowstatic.com/fp/56b795cb2ea368d9d2c6db4eed6da498-p_e.jpg,/homedetails/5733-Pleasant-Ave-Minneapolis-MN-55419/1905793_zpid/,5733 Pleasant Ave,55419,Minneapolis,MN,44.89859,-93.28284,500000.0,1705651200000,3.0,3.0,3045.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,506100.0,3099,False,False,RECENTLY_SOLD,500000.0,True,False,False,USD,USA,464000.0,10454.4,sqft,False,,,,,,,,,5733 Pleasant Ave,https://www.zillow.com/homedetails/5733-Pleasant-Ave-Minneapolis-MN-55419/1905793_zpid/,163.3107454017425
1911728,https://photos.zillowstatic.com/fp/1fa5f940bdfae397a570f5f43ce2d3ef-p_e.jpg,/homedetails/630-58th-St-E-Minneapolis-MN-55417/1911728_zpid/,630 58th St E,55417,Minneapolis,MN,44.898884,-93.265114,445000.0,1705651200000,2.0,3.0,2178.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,450400.0,2860,False,False,RECENTLY_SOLD,445000.0,True,False,False,USD,USA,371000.0,6534.0,sqft,False,,,,,,,,,630 58th St E,https://www.zillow.com/homedetails/630-58th-St-E-Minneapolis-MN-55417/1911728_zpid/,157.4825174825175
1829102,https://photos.zillowstatic.com/fp/1713cfc3705a097e6a60e071dbc11497-p_e.jpg,/homedetails/4646-Nicollet-Ave-Minneapolis-MN-55419/1829102_zpid/,4646 Nicollet Ave,55419,Minneapolis,MN,44.918034,-93.27832,290000.0,1705564800000,2.0,3.0,2124.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,321000.0,2800,False,False,RECENTLY_SOLD,290000.0,True,False,False,USD,USA,353000.0,5662.8,sqft,False,,,,,,,,,4646 Nicollet Ave,https://www.zillow.com/homedetails/4646-Nicollet-Ave-Minneapolis-MN-55419/1829102_zpid/,114.64285714285714
1760655,https://photos.zillowstatic.com/fp/78234861c714af3af0fa3926e32d39a4-p_e.jpg,/homedetails/4101-Abbott-Ave-S-Minneapolis-MN-55410/1760655_zpid/,4101 Abbott Ave S,55410,Minneapolis,MN,44.928547,-93.3223,600250.0,1705392000000,2.0,5.0,2377.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,347100.0,3566,False,False,RECENTLY_SOLD,600250.0,True,False,False,USD,USA,601000.0,8712.0,sqft,False,,,,,,,,,4101 Abbott Ave S,https://www.zillow.com/homedetails/4101-Abbott-Ave-S-Minneapolis-MN-55410/1760655_zpid/,97.33595064498037
1818431,https://photos.zillowstatic.com/fp/418c3a55ac54f52d772a3ae9ded9f465-p_e.jpg,/homedetails/4732-13th-Ave-S-Minneapolis-MN-55407/1818431_zpid/,4732 13th Ave S,55407,Minneapolis,MN,44.91665,-93.256584,505000.0,1705046400000,2.0,4.0,2248.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,512200.0,3169,False,False,RECENTLY_SOLD,505000.0,True,False,False,USD,USA,548000.0,6098.4,sqft,False,,,1701244800000.0,,-27000.0,,,,4732 13th Ave S,https://www.zillow.com/homedetails/4732-13th-Ave-S-Minneapolis-MN-55407/1818431_zpid/,161.62827390343958
1897054,https://photos.zillowstatic.com/fp/d1134f544191a3a83f7f3f5c5a2504cb-p_e.jpg,/homedetails/5837-Colfax-Ave-S-Minneapolis-MN-55419/1897054_zpid/,5837 Colfax Ave S,55419,Minneapolis,MN,44.896454,-93.291756,515000.0,1705046400000,3.0,3.0,2131.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,501600.0,2878,False,False,RECENTLY_SOLD,515000.0,True,False,False,USD,USA,485000.0,6534.0,sqft,False,,,,,,,,,5837 Colfax Ave S,https://www.zillow.com/homedetails/5837-Colfax-Ave-S-Minneapolis-MN-55419/1897054_zpid/,174.2876997915219
1705296,https://photos.zillowstatic.com/fp/a183f7f32b476e86735d6cd4107ecd01-p_e.jpg,/homedetails/3500-Park-Ave-Minneapolis-MN-55407/1705296_zpid/,3500 Park Ave,55407,Minneapolis,MN,44.93943,-93.26551,434400.0,1704960000000,3.0,4.0,2108.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,440800.0,2749,False,False,RECENTLY_SOLD,434400.0,True,False,False,USD,USA,369000.0,0.13,sqft,False,,,,,,,,,3500 Park Ave,https://www.zillow.com/homedetails/3500-Park-Ave-Minneapolis-MN-55407/1705296_zpid/,160.34921789741725
1848882,https://photos.zillowstatic.com/fp/b7748f994146aa8eb53102bc3ac00f73-p_e.jpg,/homedetails/5016-Queen-Ave-S-Minneapolis-MN-55410/1848882_zpid/,5016 Queen Ave S,55410,Minneapolis,MN,44.911797,-93.310326,600000.0,1704960000000,2.0,4.0,2063.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,608800.0,2850,False,False,RECENTLY_SOLD,600000.0,True,False,False,USD,USA,612000.0,5227.2,sqft,False,,,,,,,,,5016 Queen Ave S,https://www.zillow.com/homedetails/5016-Queen-Ave-S-Minneapolis-MN-55410/1848882_zpid/,213.6140350877193
